"Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP"
"24,Ron Baker\bakerro01,SG,23,NYK,29,330,8.4,.467,.451,.242,1.9,11.7,6.8,14.2,2.4,0.7,16.6,15.7,,-0.2,0.2,0.0,.006,,-3.1,-0.9,-4.0,-0.2"
"25,Wade Baldwin\baldwwa01,PG,20,MEM,24,309,6.8,.413,.214,.381,2.5,9.9,6.1,24.0,2.3,1.9,24.0,18.9,,-0.6,0.4,-0.2,-0.030,,-6.2,0.7,-5.4,-0.3"
"26,Leandro Barbosa\barbole01,SG,34,PHO,54,712,12.6,.511,.236,.090,1.7,10.8,6.1,14.5,1.6,0.8,8.3,19.3,,0.5,0.3,0.8,.055,,-1.4,-1.9,-3.3,-0.2"
"27,J.J. Barea\bareajo01,PG,32,DAL,18,444,17.3,.530,.385,.172,1.3,13.0,6.8,35.2,1.1,0.2,13.1,25.3,,0.5,0.3,0.8,.089,,1.4,-1.8,-0.4,0.2"
"28,Harrison Barnes\barneha02,PF,24,DAL,58,2078,17.3,.541,.175,.196,4.0,13.6,8.6,8.0,1.3,0.6,6.7,26.2,,2.0,1.7,3.7,.086,,-0.4,-1.2,-1.6,0.2"
"29,Matt Barnes\barnema02,SF,36,SAC,54,1367,10.3,.501,.551,.172,4.7,20.5,12.6,16.4,1.3,1.2,16.8,16.4,,0.0,1.1,1.1,.038,,-1.4,0.2,-1.1,0.3"
"30,Will Barton\bartowi01,SG,26,DEN,44,1284,15.6,.549,.329,.302,4.2,13.7,8.9,17.6,1.4,1.3,12.0,20.7,,2.0,0.5,2.5,.093,,1.4,-0.9,0.4,0.8"
"31,Brandon Bass\bassbr01,PF,31,LAC,39,459,18.5,.656,.014,.410,7.4,15.3,11.5,6.6,1.1,1.6,12.8,18.9,,1.2,0.4,1.6,.168,,-0.1,-0.6,-0.7,0.2"
"32,Nicolas Batum\batumni01,SG,28,CHO,55,1909,15.5,.533,.406,.312,2.2,19.4,10.9,27.1,1.5,1.0,15.7,21.5,,1.2,2.5,3.7,.093,,0.5,1.2,1.7,1.8"
"33,Jerryd Bayless\bayleje01,PG,28,PHI,3,71,8.8,.453,.156,.313,4.6,13.9,9.3,29.8,0.0,0.0,19.8,27.8,,-0.1,0.0,-0.1,-0.064,,-5.1,-2.8,-7.9,-0.1"
"34,Aron Baynes\baynear01,C,30,DET,55,840,11.0,.552,.000,.366,8.7,20.2,14.3,3.0,0.9,2.3,14.3,13.7,,0.7,1.1,1.8,.101,,-3.6,1.0,-2.6,-0.1"
"35,Kent Bazemore\bazemke01,SF,27,ATL,56,1529,11.0,.491,.358,.219,2.3,10.4,6.4,14.4,2.3,2.3,13.9,20.5,,-0.9,2.1,1.2,.038,,-2.5,1.2,-1.3,0.3"
"36,Bradley Beal\bealbr01,SG,23,WAS,52,1798,19.9,.601,.431,.271,2.0,7.5,4.8,17.0,1.5,0.6,9.7,26.4,,4.6,1.3,5.9,.157,,4.4,-2.4,2.0,1.8"
"37,Malik Beasley\beaslma01,SG,20,DEN,18,88,13.6,.516,.395,.186,2.5,6.4,4.4,10.7,2.2,0.0,7.9,24.2,,0.1,0.0,0.1,.052,,-0.5,-4.5,-5.0,-0.1"
"38,Michael Beasley\beaslmi01,PF,28,MIL,48,824,17.5,.586,.110,.274,4.8,19.1,12.1,10.0,1.4,2.4,13.2,24.5,,0.8,0.8,1.5,.089,,-1.5,-1.3,-2.8,-0.2"
"39,Marco Belinelli\belinma01,SG,30,CHO,53,1309,13.1,.567,.465,.235,0.9,10.5,5.7,12.5,1.3,0.5,9.5,18.9,,1.3,1.2,2.5,.090,,0.0,-1.3,-1.3,0.2"
"40,DeAndre' Bembry\bembrde01,SF,22,ATL,28,283,8.8,.481,.156,.182,3.5,12.6,8.2,10.7,0.9,0.9,10.7,14.4,,0.0,0.3,0.2,.038,,-4.4,-0.4,-4.8,-0.2"
"41,Dragan Bender\bendedr01,PF,19,PHO,38,481,5.8,.474,.653,.065,3.6,15.7,9.4,4.9,0.9,3.2,17.5,13.6,,-0.4,0.3,-0.1,-0.012,,-3.8,-0.1,-3.9,-0.2"
"42,Anthony Bennett\bennean01,PF,23,BRK,23,264,14.7,.533,.522,.391,10.1,20.9,15.6,7.1,0.9,0.9,10.0,19.4,,0.3,0.2,0.5,.082,,-0.8,-2.3,-3.1,-0.1"
"43,Davis Bertans\bertada01,PF,24,SAS,48,556,13.0,.606,.729,.194,3.2,10.3,6.8,8.8,1.3,3.0,10.6,15.3,,0.8,0.8,1.6,.142,,1.4,0.6,2.0,0.6"
"44,Patrick Beverley\beverpa01,SG,28,HOU,46,1402,13.8,.555,.521,.128,4.7,16.1,10.4,20.4,2.4,1.1,14.6,14.1,,2.3,1.8,4.0,.138,,1.2,1.6,2.8,1.7"
"45,Bismack Biyombo\biyombi01,C,24,ORL,59,1360,11.9,.539,.000,.707,9.0,25.5,17.0,6.1,0.7,4.5,18.7,13.1,,0.3,1.7,2.1,.073,,-4.5,2.6,-1.9,0.0"
"46,Nemanja Bjelica\bjeline01,PF,28,MIN,57,976,10.3,.536,.526,.174,4.5,17.5,10.9,9.1,1.8,1.4,14.9,16.5,,0.3,0.8,1.1,.053,,-1.1,-0.4,-1.5,0.1"
"47,Tarik Black\blackta01,C,25,LAL,47,763,15.1,.558,.010,.405,14.5,21.3,17.8,6.3,1.2,2.8,14.5,16.2,,1.1,0.6,1.7,.109,,-1.5,0.0,-1.5,0.1"
"48,Eric Bledsoe\bledser01,PG,27,PHO,57,1901,21.4,.568,.301,.441,2.9,14.1,8.3,31.5,2.0,1.0,14.8,28.1,,4.3,1.2,5.4,.137,,4.3,-0.4,3.9,2.8"
"49,Bojan Bogdanovic\bogdabo02,SF,27,TOT,56,1500,12.9,.569,.455,.271,1.6,12.4,7.1,10.0,0.8,0.2,11.9,22.3,,1.0,0.4,1.4,.045,,-0.4,-2.6,-3.1,-0.4"
"49,Bojan Bogdanovic\bogdabo02,SF,27,BRK,55,1482,13.1,.572,.453,.273,1.7,12.2,7.0,10.1,0.8,0.2,11.8,22.4,,1.1,0.3,1.4,.047,,-0.3,-2.7,-3.0,-0.4"
"49,Bojan Bogdanovic\bogdabo02,G-F,27,WAS,1,18,1.4,.200,.600,.000,0.0,24.7,12.5,7.0,2.7,4.7,16.7,14.6,,-0.1,0.0,0.0,-0.125,,-10.4,3.3,-7.1,0.0"
"50,Andrew Bogut\bogutan01,C,32,DAL,26,582,9.4,.460,.012,.136,10.5,34.2,21.8,12.3,1.2,3.9,33.4,10.5,,-0.3,1.0,0.7,.056,,-5.7,5.4,-0.3,0.3"
"51,Joel Bolomboy\bolomjo01,PF,23,UTA,9,20,22.7,.592,.200,.800,6.0,50.3,28.9,8.2,2.6,4.1,12.9,18.2,,0.0,0.1,0.1,.215,,-3.6,4.1,0.4,0.0"
